text,summary
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #2 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #2)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #2 in the series.",Line equation: y = mx + c (Concept #2)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #2 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #2)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #2 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #2)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #2 in the series.,General line form: Ax + By + C = 0 (Concept #2)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #2 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #2)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #2 in the series.,Parabola (upwards): y = ax² (Concept #2)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #2 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #2)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #2 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #2)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #3 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #3)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #3 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #3)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #3 in the series.",Line equation: y = mx + c (Concept #3)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #3 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #3)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #3 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #3)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #3 in the series.,General line form: Ax + By + C = 0 (Concept #3)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #3 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #3)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #3 in the series.,Parabola (upwards): y = ax² (Concept #3)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #3 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #3)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #3 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #3)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #4 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #4)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #4 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #4)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #4 in the series.",Line equation: y = mx + c (Concept #4)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #4 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #4)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #4 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #4)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #4 in the series.,General line form: Ax + By + C = 0 (Concept #4)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #4 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #4)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #4 in the series.,Parabola (upwards): y = ax² (Concept #4)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #4 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #4)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #4 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #4)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #5 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #5)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #5 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #5)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #5 in the series.",Line equation: y = mx + c (Concept #5)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #5 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #5)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #5 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #5)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #5 in the series.,General line form: Ax + By + C = 0 (Concept #5)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #5 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #5)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #5 in the series.,Parabola (upwards): y = ax² (Concept #5)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #5 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #5)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #5 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #5)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #6 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #6)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #6 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #6)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #6 in the series.",Line equation: y = mx + c (Concept #6)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #6 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #6)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #6 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #6)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #6 in the series.,General line form: Ax + By + C = 0 (Concept #6)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #6 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #6)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #6 in the series.,Parabola (upwards): y = ax² (Concept #6)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #6 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #6)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #6 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #6)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #7 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #7)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #7 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #7)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #7 in the series.",Line equation: y = mx + c (Concept #7)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #7 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #7)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #7 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #7)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #7 in the series.,General line form: Ax + By + C = 0 (Concept #7)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #7 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #7)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #7 in the series.,Parabola (upwards): y = ax² (Concept #7)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #7 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #7)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #7 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #7)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #8 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #8)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #8 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #8)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #8 in the series.",Line equation: y = mx + c (Concept #8)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #8 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #8)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #8 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #8)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #8 in the series.,General line form: Ax + By + C = 0 (Concept #8)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #8 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #8)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #8 in the series.,Parabola (upwards): y = ax² (Concept #8)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #8 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #8)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #8 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #8)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #9 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #9)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #9 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #9)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #9 in the series.",Line equation: y = mx + c (Concept #9)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #9 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #9)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #9 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #9)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #9 in the series.,General line form: Ax + By + C = 0 (Concept #9)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #9 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #9)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #9 in the series.,Parabola (upwards): y = ax² (Concept #9)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #9 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #9)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #9 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #9)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #10 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #10)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #10 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #10)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #10 in the series.",Line equation: y = mx + c (Concept #10)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #10 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #10)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #10 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #10)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #10 in the series.,General line form: Ax + By + C = 0 (Concept #10)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #10 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #10)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #10 in the series.,Parabola (upwards): y = ax² (Concept #10)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #10 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #10)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #10 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #10)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #11 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #11)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #11 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #11)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #11 in the series.",Line equation: y = mx + c (Concept #11)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #11 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #11)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #11 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #11)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #11 in the series.,General line form: Ax + By + C = 0 (Concept #11)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #11 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #11)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #11 in the series.,Parabola (upwards): y = ax² (Concept #11)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #11 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #11)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #11 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #11)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #12 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #12)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #12 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #12)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #12 in the series.",Line equation: y = mx + c (Concept #12)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #12 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #12)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #12 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #12)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #12 in the series.,General line form: Ax + By + C = 0 (Concept #12)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #12 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #12)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #12 in the series.,Parabola (upwards): y = ax² (Concept #12)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #12 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #12)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #12 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #12)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #13 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #13)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #13 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #13)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #13 in the series.",Line equation: y = mx + c (Concept #13)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #13 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #13)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #13 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #13)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #13 in the series.,General line form: Ax + By + C = 0 (Concept #13)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #13 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #13)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #13 in the series.,Parabola (upwards): y = ax² (Concept #13)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #13 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #13)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #13 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #13)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #14 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #14)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #14 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #14)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #14 in the series.",Line equation: y = mx + c (Concept #14)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #14 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #14)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #14 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #14)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #14 in the series.,General line form: Ax + By + C = 0 (Concept #14)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #14 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #14)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #14 in the series.,Parabola (upwards): y = ax² (Concept #14)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #14 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #14)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #14 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #14)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #15 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #15)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #15 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #15)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #15 in the series.",Line equation: y = mx + c (Concept #15)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #15 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #15)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #15 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #15)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #15 in the series.,General line form: Ax + By + C = 0 (Concept #15)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #15 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #15)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #15 in the series.,Parabola (upwards): y = ax² (Concept #15)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #15 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #15)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #15 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #15)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #16 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #16)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #16 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #16)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #16 in the series.",Line equation: y = mx + c (Concept #16)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #16 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #16)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #16 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #16)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #16 in the series.,General line form: Ax + By + C = 0 (Concept #16)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #16 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #16)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #16 in the series.,Parabola (upwards): y = ax² (Concept #16)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #16 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #16)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #16 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #16)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #17 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #17)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #17 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #17)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #17 in the series.",Line equation: y = mx + c (Concept #17)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #17 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #17)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #17 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #17)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #17 in the series.,General line form: Ax + By + C = 0 (Concept #17)
